id,Venda_Departamento
1_1_2012-11-02,19924.6148694116
1_1_2012-11-09,19981.68039458076
1_1_2012-11-16,17529.981279768745
1_1_2012-11-23,19820.096286817337
1_1_2012-11-30,18217.864659802945
1_1_2012-12-07,61282.97557500001
1_1_2012-12-14,34484.54607883373
1_1_2012-12-21,51339.08203333333
1_1_2012-12-28,17198.174800000008
1_1_2013-01-04,17060.073349285707
1_1_2013-01-11,16631.73828071427
1_1_2013-01-18,16929.006452142847
1_1_2013-01-25,19010.535008333307
1_1_2013-02-01,21794.27676712008
1_1_2013-02-08,30564.290861226924
1_1_2013-02-15,23900.637354010647
1_1_2013-02-22,20845.31348176005
1_1_2013-03-01,21336.94118237558
1_1_2013-03-08,19784.260958785246
1_1_2013-03-15,20826.127221661103
1_1_2013-03-22,24299.95804840483
1_1_2013-03-29,21039.259379460666
1_1_2013-04-05,24500.32932027169
1_1_2013-04-12,21075.423952582172
1_1_2013-04-19,20678.75586844281
1_1_2013-04-26,21131.781691046363
1_1_2013-05-03,27244.35801666667
1_1_2013-05-10,39759.032130952386
1_1_2013-05-17,28609.51976666667
1_1_2013-05-24,25661.104266666673
1_1_2013-05-31,25537.28478166666
1_1_2013-06-07,26155.27236666668
1_1_2013-06-14,25344.6605
1_1_2013-06-21,25117.94580000001
1_1_2013-06-28,24035.26600666668
1_1_2013-07-05,25407.103
1_1_2013-07-12,25111.185106666675
1_1_2013-07-19,25594.977222222224
1_1_2013-07-26,24039.625573412715
1_2_2012-11-02,46048.701325979644
1_2_2012-11-09,46829.99132300116
1_2_2012-11-16,46224.314327296925
1_2_2012-11-23,49253.596310179826
1_2_2012-11-30,50444.35505009848
1_2_2012-12-07,48800.42260964098
1_2_2012-12-14,48330.876695661966
1_2_2012-12-21,50413.83959206044
1_2_2012-12-28,48418.45893611111
1_2_2013-01-04,42164.990511580094
1_2_2013-01-11,43100.67278631151
1_2_2013-01-18,41994.3726763116
1_2_2013-01-25,41576.253768339986
1_2_2013-02-01,47298.815880649294
1_2_2013-02-08,48672.402035155275
1_2_2013-02-15,47721.7750128664
1_2_2013-02-22,47689.40875946559
1_2_2013-03-01,44880.299695303635
1_2_2013-03-08,45185.802623912285
1_2_2013-03-15,44567.89510922656
1_2_2013-03-22,47319.277732805414
1_2_2013-03-29,46526.22502225361
1_2_2013-04-05,46151.73361630775
1_2_2013-04-12,44084.6395647479
1_2_2013-04-19,44506.68941607074
1_2_2013-04-26,44892.182250839935
1_2_2013-05-03,94206.85956041668
1_2_2013-05-10,95156.86056666667
1_2_2013-05-17,95551.19923333333
1_2_2013-05-24,95921.3077466667
1_2_2013-05-31,94970.48914041668
1_2_2013-06-07,95234.65684041668
1_2_2013-06-14,96465.01038000005
1_2_2013-06-21,95545.16324666669
1_2_2013-06-28,96020.61176690478
1_2_2013-07-05,96603.61998000005
1_2_2013-07-12,95910.62354190479
1_2_2013-07-19,95970.1610404167
1_2_2013-07-26,94667.32116541668
1_3_2012-11-02,9757.62873211827
1_3_2012-11-09,10119.975050575073
1_3_2012-11-16,9978.781175325803
1_3_2012-11-23,9801.261244195583
1_3_2012-11-30,10244.200169740761
1_3_2012-12-07,10570.688774185714
1_3_2012-12-14,10183.493120708765
1_3_2012-12-21,10354.786447943481
1_3_2012-12-28,9929.588538282316
1_3_2013-01-04,11762.2005389619
1_3_2013-01-11,11444.707733860261
1_3_2013-01-18,11922.918811052286
1_3_2013-01-25,11675.554130333818
1_3_2013-02-01,8764.797095827707
1_3_2013-02-08,9278.365750868725
1_3_2013-02-15,9273.333124459594
1_3_2013-02-22,9034.841208628372
1_3_2013-03-01,8214.167216039696
1_3_2013-03-08,8280.941674927042
1_3_2013-03-15,8089.9352583921
1_3_2013-03-22,8172.659465121981
1_3_2013-03-29,8427.456113463424
1_3_2013-04-05,8368.756507411217
1_3_2013-04-12,7820.098100200521
1_3_2013-04-19,8013.622552321143
1_3_2013-04-26,7921.243724398052
1_3_2013-05-03,27195.98507802542
1_3_2013-05-10,27929.478486913085
1_3_2013-05-17,28180.96802127499
1_3_2013-05-24,24775.333354164268
1_3_2013-05-31,24650.036639391546
1_3_2013-06-07,25052.73883476994
1_3_2013-06-14,25319.964658690864
1_3_2013-06-21,24360.434616558832
1_3_2013-06-28,27346.91963903401
1_3_2013-07-05,39280.655014384094
1_3_2013-07-12,40301.54882888692
1_3_2013-07-19,39218.88157393975
1_3_2013-07-26,39020.57975344943
1_4_2012-11-02,36843.74865459077
1_4_2012-11-09,36546.15894554314
1_4_2012-11-16,37672.81692807561
1_4_2012-11-23,37953.34714419914
1_4_2012-11-30,39236.55722595239
1_4_2012-12-07,36705.66349573302
1_4_2012-12-14,37706.92103269331
1_4_2012-12-21,36852.150479463184
1_4_2012-12-28,38814.97833189655
1_4_2013-01-04,34940.587739109775
1_4_2013-01-11,35199.206179789486
1_4_2013-01-18,34728.70947667662
1_4_2013-01-25,34499.64322815952
1_4_2013-02-01,38082.304516741
1_4_2013-02-08,38384.642908175105
1_4_2013-02-15,37331.147433451944
1_4_2013-02-22,37043.53917076464
1_4_2013-03-01,35361.68549646302
1_4_2013-03-08,37775.49306423646
1_4_2013-03-15,35066.339382333754
1_4_2013-03-22,37772.246123266
1_4_2013-03-29,37770.628712516685
1_4_2013-04-05,38035.76663668526
1_4_2013-04-12,36362.82577801116
1_4_2013-04-19,36733.61303758333
1_4_2013-04-26,36636.23288737094
1_4_2013-05-03,50279.239415034375
1_4_2013-05-10,51240.38064274833
1_4_2013-05-17,48741.47642303847
1_4_2013-05-24,49554.499233446324
1_4_2013-05-31,49342.23221693975
1_4_2013-06-07,49530.91244927966
1_4_2013-06-14,49594.0992869433
1_4_2013-06-21,49710.68515848289
1_4_2013-06-28,49583.30431507029
1_4_2013-07-05,49859.75557376148
1_4_2013-07-12,49552.60871038356
1_4_2013-07-19,49565.65457927965
